16401,1,2016,1435,FÍSICA I,9.3,6.8,6.7,0.0,0.0,7.38
16401,1,2016,1514,CÁLCULO I,2.3,6.5,6.5,0.0,0.0,5.45
16401,1,2016,1515,ÁLGEBRA LINEAR I,5.8,5.8,2.9,8.0,8.0,8.0
16401,1,2016,1998,ATIVIDADES EXTRACURRICULARES 1º ANO/1º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
16401,1,2016,5056,QUÍMICA I,8.8,6.8,9.5,0.0,0.0,8.65
16401,1,2016,9253,INTRODUÇÃO À COMPUTAÇÃO,6.3,9.9,9.2,0.0,0.0,8.65
16042,1,2016,1435,FÍSICA I,8.7,6.5,9.8,0.0,0.0,8.7
16042,1,2016,1514,CÁLCULO I,4.1,5.7,5.7,0.0,0.0,5.3
16042,1,2016,1515,ÁLGEBRA LINEAR I,3.8,5.2,3.7,8.0,8.0,8.0
16042,1,2016,1998,ATIVIDADES EXTRACURRICULARES 1º ANO/1º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
16042,1,2016,5056,QUÍMICA I,8.9,7.2,8.1,0.0,0.0,8.08
16042,1,2016,9253,INTRODUÇÃO À COMPUTAÇÃO,3.7,10.0,9.3,0.0,0.0,8.08
16042,2,2016,1033,CÁLCULO II,7.6,2.7,6.1,0.0,0.0,5.63
16042,2,2016,1132,DESENHO TÉCNICO BÁSICO,10.0,8.7,10.0,0.0,0.0,9.68
16042,2,2016,1436,FÍSICA II,8.8,4.3,8.9,0.0,0.0,7.73
16042,2,2016,1516,ÁLGEBRA LINEAR II,6.2,6.2,4.0,0.0,0.0,5.1
16042,2,2016,1999,ATIVIDADES EXTRACURRICULARES 1º ANO/2º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
16042,2,2016,5057,QUÍMICA II,8.8,6.0,4.3,0.0,0.0,5.85
17001,1,2017,1051,FÍSICA I,5.6,8.5,8.3,0.0,0.0,7.68
17001,1,2017,1052,FÍSICA EXPERIMENTAL I,8.2,6.7,4.5,0.0,0.0,5.98
17001,1,2017,1514,CÁLCULO I,7.8,5.0,5.4,0.0,0.0,5.9
17001,1,2017,1515,ÁLGEBRA LINEAR I,7.8,2.4,7.1,0.0,0.0,6.1
17001,1,2017,1998,ATIVIDADES EXTRACURRICULARES 1º ANO/1º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
17001,1,2017,5016,QUÍMICA I,8.4,7.0,10.0,0.0,0.0,8.85
17001,1,2017,5017,QUÍMICA EXPERIMENTAL I,9.2,9.2,9.8,0.0,0.0,9.5
17001,1,2017,9253,INTRODUÇÃO À COMPUTAÇÃO,9.9,7.0,7.0,0.0,0.0,7.73
17001,2,2017,1033,CÁLCULO II,5.7,8.0,8.0,0.0,0.0,7.43
17001,2,2017,1053,FÍSICA II,8.8,9.1,6.8,0.0,0.0,7.88
17001,2,2017,1054,FÍSICA EXPERIMENTAL II,9.4,7.0,4.9,0.0,0.0,6.55
17001,2,2017,1132,DESENHO TÉCNICO BÁSICO,7.5,3.0,9.0,0.0,0.0,7.13
17001,2,2017,1516,ÁLGEBRA LINEAR II,8.0,5.3,6.6,0.0,0.0,6.63
17001,2,2017,1999,ATIVIDADES EXTRACURRICULARES 1º ANO/2º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
17001,2,2017,5018,QUÍMICA II,8.8,7.7,5.3,0.0,0.0,6.78
17001,2,2017,5019,QUÍMICA EXPERIMENTAL II,8.7,9.9,9.8,0.0,0.0,9.55
17401,1,2017,1051,FÍSICA I,5.4,8.8,9.7,0.0,0.0,8.4
17401,1,2017,1052,FÍSICA EXPERIMENTAL I,8.7,7.7,6.5,0.0,0.0,7.35
17401,1,2017,1514,CÁLCULO I,7.0,9.1,8.2,0.0,0.0,8.13
17401,1,2017,1515,ÁLGEBRA LINEAR I,9.4,4.2,8.4,0.0,0.0,7.6
17401,1,2017,1998,ATIVIDADES EXTRACURRICULARES 1º ANO/1º PERIODO,0.0,0.0,0.0,0.0,0.0,0.0
17401,1,2017,5016,QUÍMICA I,9.5,8.1,9.1,0.0,0.0,8.95
17401,1,2017,5017,QUÍMICA EXPERIMENTAL I,9.1,9.5,9.8,0.0,0.0,9.55
17401,1,2017,9253,INTRODUÇÃO À COMPUTAÇÃO,9.9,9.3,9.0,0.0,0.0,9.3
17401,2,2017,1033,CÁLCULO II,4.6,8.0,10.0,0.0,0.0,8.15
17401,2,2017,1053,FÍSICA II,8.8,5.0,7.2,0.0,0.0,7.05
17401,2,2017,1054,FÍSICA EXPERIMENTAL II,9.4,7.3,8.2,0.0,0.0,8.28
17401,2,2017,1132,DESENHO TÉCNICO BÁSICO,9.0,4.0,9.3,0.0,0.0,7.9
